Half Reaction,Standard Reduction Potential (V)
PbO + H2O + 2 e- -> Pb + 2 OH-,-0.580
2 SO3(2-) + 3 H2O + 4 e- -> S2O3(2-) + 6 OH-,-0.571
TeO3(2-) + 3 H2O + 4 e- -> Te + 6 OH-,-0.57
Fe(OH)3 + e- -> Fe(OH)2 + OH-,-0.56
TlCl + e- -> Tl + Cl-,-0.5568
Ga3+ + 3 e- -> Ga,-0.549
HPbO2- + H2O + 2 e- -> Pb + 3 OH-,-0.537
U4+ + e- -> U3+,-0.52
Sb + 3 H+ + 3 e- -> SbH3,-0.510
H3PO2 + H+ + e- -> P + 2 H2O,-0.508
TiO2 + 4 H+ + 2 e- -> Ti2+ + 2 H2O,-0.502
H3PO3 + 2 H+ + 2 e- -> H3PO2 + H2O,-0.499
GaOH2+ + H+ + 3 e- -> Ga + H2O,-0.498
ZnOH+ + H+ + 2 e- -> Zn + H2O,-0.497
In3+ + e- -> In2+,-0.49
B(OH)3 + 7 H+ + 8 e- -> BH4- + 3 H2O,-0.481
S + H2O + 2 e- -> HS- + OH-,-0.478
S + 2 e- -> S2-,-0.47627
PbHPO4 + 2 e- -> Pb + HPO4(2-),-0.465
NO2- + H2O + e- -> NO + 2 OH-,-0.46
Bi2O3 + 3 H2O + 6 e- -> 2 Bi + 6 OH-,-0.46
H3PO3 + 3 H+ + 3 e- -> P + 3 H2O,-0.454
Fe2+ + 2 e- -> Fe,-0.447
In3+ + 2 e- -> In+,-0.443
Tl2SO4 + 2 e- -> Tl + SO4(2-),-0.4360
2 S + 2 e- -> S2(2-),-0.42836
Cr3+ + e- -> Cr2+,-0.407
Cd2+ + 2 e- -> Cd,-0.4030
In2+ + e- -> In+,-0.40
Se + 2 H+ + 2 e- -> H2Se(aq),-0.399
Ti3+ + e- -> Ti2+,-0.369
SeO3(2-) + 3 H2O + 4 e- -> Se + 6 OH-,-0.366
PbI2 + 2 e- -> Pb + 2 I-,-0.365
Eu3+ + e- -> Eu2+,-0.36
Cu2O + H2O + 2 e- -> 2 Cu + 2 OH-,-0.360
Cd2+ + 2 e- -> Cd(Hg),-0.3521
PbSO4 + 2 e- -> Pb + SO4(2-),-0.3588
PbSO4 + 2 e- -> Pb(Hg) + SO4(2-),-0.3505
PbF2 + 2 e- -> Pb + 2 F-,-0.3444
TlOH + e- -> Tl + OH-,-0.34
In3+ + 3 e- -> In,-0.3382
Tl+ + e- -> Tl,-0.336
Tl+ + e- -> Tl(Hg),-0.3338
PbBr2 + 2 e- -> Pb + 2 Br-,-0.284
Co2+ + 2 e- -> Co,-0.28
H3PO4 + 2 H+ + 2 e- -> H3PO3 + H2O,-0.276
PbCl2 + 2 e- -> Pb + 2 Cl-,-0.2675
Ni2+ + 2 e- -> Ni,-0.257
V3+ + e- -> V2+,-0.255
V(OH)4+ + 4 H+ + 5 e- -> V + 4 H2O,-0.254
CdSO4 + 2 e- -> Cd + SO4(2-),-0.246
V2O5 + 10 H+ + 10 e- -> 2 V + 5 H2O,-0.242
Cu(OH)2 + 2 e- -> Cu + 2 OH-,-0.222
2 SO3(2-) + 4 H+ + 2 e- -> S2O5(2-) + H2O,-0.22
Ga+ + e- -> Ga,-0.2
Mo3+ + 3 e- -> Mo,-0.200
CO2 + 2 H+ + 2 e- -> HCOOH,-0.199
SnO2 + 3 H+ + 2 e- -> SnOH+ + H2O,-0.194
H2GeO3 + 4 H+ + 4 e- -> Ge + 3 H2O,-0.182
2 NO2- + 2 H2O + 4 e- -> N2O2(2-) + 4 OH-,-0.18
AgI + e- -> Ag + I-,-0.15224
MoO2 + 4 H+ + 4 e- -> Mo + 4 H2O,-0.152
O2 + 2 H2O + 2 e- -> H2O2 + 2 OH-,-0.146
In+ + e- -> In,-0.14
Sn2- + 2 e- -> Sn,-0.1375
CrO4(2-) + 4 H2O + 3 e- -> Cr(OH)3 + 5 OH-,-0.13
Pb2+ + 2 e- -> Pb,-0.1262
Pb2+ + 2 e- -> Pb(Hg),-0.1205
WO2 + 4 H+ + 4 e- -> W + 2 H2O,-0.119
GeO2 + 2 H+ + 2 e- -> GeO + H2O,-0.118
SnO2 + 4 H+ + 4 e- -> Sn + 2 H2O,-0.117
P(red) + 3 H+ + 3 e- -> PH3(g),-0.111
Md3+ + e- -> Md2+,-0.1
SnO2 + 4 H+ + 2 e- -> Sn2+ + 2 H2O,-0.094
WO3 + 6 H+ + 6 e- -> W + 3 H2O,-0.090
Se + 2 H+ + 2 e- -> H2Se,-0.082
2 Cu(OH)2 + 2 e- -> Cu2O + 2 OH- + H2O,-0.080
O2 + H2O + 2 e- -> HO2- + OH-,-0.076
P(white) + 3 H+ + 3 e- -> PH3(g),-0.063
2 H2SO3 + H+ + 2 e- -> HS2O4- + 2 H2O,-0.056
TiOH3+ + H+ + e- -> Ti3+ + H2O,-0.055
Tl(OH)3 + 2 e- -> TlOH + 2 OH-,-0.05
Hg2I2 + 2 e- -> 2 Hg + 2 I-,-0.0405
Fe3+ + 3 e- -> Fe,-0.037
Ag2S + 2 H+ + 2 e- -> 2 Ag + H2S,-0.0366
W2O5 + 2 H+ + 2 e- -> 2 WO2 + H2O,-0.031
2 WO3 + 2 H+ + 2 e- -> W2O5 + H2O,-0.029
AgCN + e- -> Ag + CN-,-0.017
2 D+ + 2 e- -> D2,-0.013
